spike_id,window_start,window_end,spike_type,severity,volume,baseline_volume,volume_change_ratio,fraud_rate,baseline_fraud_rate,failure_rate,unique_accounts,unique_devices,unique_ip_subnets,unique_pincodes,top_skus,anomaly_reasons,anomaly_score,coordination_score
spk-coord-20260108-13,2026-01-08T13:00:00,2026-01-08T14:00:00,suspicious_coordinated_spike,high,80,,,0.65,0.0165,0.525,63,27,14,20,"[{""sku_id"": ""sku_1048"", ""count"": 30}, {""sku_id"": ""sku_1049"", ""count"": 26}, {""sku_id"": ""sku_1001"", ""count"": 3}]","[""many_accounts_per_device"", ""high_device_reuse"", ""elevated_device_velocity"", ""high_absolute_failure_rate""]",23.219,23.219
spk-coord-20260108-14,2026-01-08T14:00:00,2026-01-08T15:00:00,suspicious_coordinated_spike,high,94,,,0.5957,0.0248,0.4894,71,27,15,19,"[{""sku_id"": ""sku_1048"", ""count"": 53}, {""sku_id"": ""sku_1049"", ""count"": 18}, {""sku_id"": ""sku_1015"", ""count"": 2}]","[""many_accounts_per_device"", ""high_device_reuse"", ""elevated_device_velocity"", ""high_absolute_failure_rate"", ""narrow_sku_targeting""]",33.629,33.629
spk-coord-20260108-15,2026-01-08T15:00:00,2026-01-08T16:00:00,suspicious_coordinated_spike,high,86,,,0.6047,0.0331,0.3953,66,31,17,19,"[{""sku_id"": ""sku_1048"", ""count"": 45}, {""sku_id"": ""sku_1049"", ""count"": 16}, {""sku_id"": ""sku_1001"", ""count"": 6}]","[""many_accounts_per_device"", ""high_device_reuse"", ""elevated_device_velocity"", ""high_absolute_failure_rate""]",16.554,16.554
spk-fest-20260110-07,2026-01-10T07:00:00,2026-01-10T08:00:00,legitimate_festive_spike,info,20,11.4,1.754,0.0,0.0353,0.0,20,20,14,18,"[{""sku_id"": ""sku_1004"", ""count"": 3}, {""sku_id"": ""sku_1001"", ""count"": 3}, {""sku_id"": ""sku_1008"", ""count"": 2}]","[""high_volume_with_preserved_diversity""]",3.365,0.0
spk-fest-20260110-08,2026-01-10T08:00:00,2026-01-10T09:00:00,legitimate_festive_spike,info,19,13.2,1.439,0.0,0.0353,0.0526,19,19,12,14,"[{""sku_id"": ""sku_1030"", ""count"": 2}, {""sku_id"": ""sku_1008"", ""count"": 2}, {""sku_id"": ""sku_1004"", ""count"": 2}]","[""high_volume_with_preserved_diversity""]",0.936,0.0
spk-fest-20260110-09,2026-01-10T09:00:00,2026-01-10T10:00:00,legitimate_festive_spike,info,28,17.0,1.647,0.0,0.0353,0.0357,28,28,15,20,"[{""sku_id"": ""sku_1001"", ""count"": 5}, {""sku_id"": ""sku_1004"", ""count"": 3}, {""sku_id"": ""sku_1003"", ""count"": 3}]","[""high_volume_with_preserved_diversity""]",1.188,0.0
spk-fest-20260110-16,2026-01-10T16:00:00,2026-01-10T17:00:00,legitimate_festive_spike,info,27,18.8,1.436,0.037,0.0358,0.0,27,27,17,22,"[{""sku_id"": ""sku_1002"", ""count"": 6}, {""sku_id"": ""sku_1001"", ""count"": 4}, {""sku_id"": ""sku_1003"", ""count"": 2}]","[""high_volume_with_preserved_diversity""]",0.858,0.0
spk-fest-20260110-17,2026-01-10T17:00:00,2026-01-10T18:00:00,legitimate_festive_spike,info,37,19.8,1.869,0.0,0.0364,0.1622,37,37,19,23,"[{""sku_id"": ""sku_1001"", ""count"": 7}, {""sku_id"": ""sku_1004"", ""count"": 4}, {""sku_id"": ""sku_1047"", ""count"": 3}]","[""high_volume_with_preserved_diversity""]",1.639,0.299
spk-fest-20260110-21,2026-01-10T21:00:00,2026-01-10T22:00:00,legitimate_festive_spike,info,31,21.0,1.476,0.0323,0.0367,0.0968,29,29,15,23,"[{""sku_id"": ""sku_1004"", ""count"": 4}, {""sku_id"": ""sku_1012"", ""count"": 2}, {""sku_id"": ""sku_1001"", ""count"": 2}]","[""high_volume_with_preserved_diversity""]",0.784,0.084
spk-fest-20260111-08,2026-01-11T08:00:00,2026-01-11T09:00:00,legitimate_festive_spike,info,21,14.167,1.482,0.0,0.0354,0.1429,19,19,14,15,"[{""sku_id"": ""sku_1001"", ""count"": 4}, {""sku_id"": ""sku_1026"", ""count"": 2}, {""sku_id"": ""sku_1003"", ""count"": 2}]","[""high_volume_with_preserved_diversity""]",1.037,0.255
spk-fest-20260111-18,2026-01-11T18:00:00,2026-01-11T19:00:00,legitimate_festive_spike,info,41,23.833,1.72,0.0,0.0118,0.122,38,38,19,28,"[{""sku_id"": ""sku_1001"", ""count"": 6}, {""sku_id"": ""sku_1002"", ""count"": 5}, {""sku_id"": ""sku_1008"", ""count"": 3}]","[""high_volume_with_preserved_diversity""]",1.598,0.564
spk-fest-20260114-07,2026-01-14T07:00:00,2026-01-14T08:00:00,legitimate_festive_spike,info,28,12.444,2.25,0.0,0.014,0.0714,28,28,18,18,"[{""sku_id"": ""sku_1001"", ""count"": 4}, {""sku_id"": ""sku_1003"", ""count"": 3}, {""sku_id"": ""sku_1007"", ""count"": 2}]","[""high_volume_with_preserved_diversity""]",1.687,0.009
spk-fest-20260114-08,2026-01-14T08:00:00,2026-01-14T09:00:00,legitimate_festive_spike,info,26,15.0,1.733,0.0,0.014,0.0769,26,26,16,24,"[{""sku_id"": ""sku_1002"", ""count"": 5}, {""sku_id"": ""sku_1026"", ""count"": 2}, {""sku_id"": ""sku_1030"", ""count"": 2}]","[""high_volume_with_preserved_diversity""]",0.939,0.044
spk-fest-20260114-09,2026-01-14T09:00:00,2026-01-14T10:00:00,legitimate_festive_spike,info,42,19.333,2.172,0.0,0.014,0.0714,41,42,18,24,"[{""sku_id"": ""sku_1002"", ""count"": 7}, {""sku_id"": ""sku_1003"", ""count"": 4}, {""sku_id"": ""sku_1033"", ""count"": 2}]","[""high_volume_with_preserved_diversity""]",1.833,0.0
