spike_id,window_start,window_end,spike_type,severity,volume,baseline_volume,volume_change_ratio,fraud_rate,baseline_fraud_rate,failure_rate,unique_accounts,unique_devices,unique_ip_subnets,unique_pincodes,top_skus,anomaly_reasons,anomaly_score,coordination_score
spk-coord-20260108-13,2026-01-08T13:00:00,2026-01-08T14:00:00,suspicious_coordinated_spike,high,89,,,0.5281,0.0247,0.618,68,32,18,19,"[{""sku_id"": ""sku_1048"", ""count"": 41}, {""sku_id"": ""sku_1049"", ""count"": 21}, {""sku_id"": ""sku_1003"", ""count"": 3}]","[""many_accounts_per_device"", ""high_device_reuse"", ""elevated_device_velocity"", ""high_absolute_failure_rate""]",23.768,23.768
spk-coord-20260108-14,2026-01-08T14:00:00,2026-01-08T15:00:00,suspicious_coordinated_spike,high,89,,,0.7303,0.032,0.5393,64,22,13,17,"[{""sku_id"": ""sku_1048"", ""count"": 54}, {""sku_id"": ""sku_1049"", ""count"": 18}, {""sku_id"": ""sku_1003"", ""count"": 3}]","[""many_accounts_per_device"", ""high_device_reuse"", ""elevated_device_velocity"", ""high_absolute_failure_rate"", ""narrow_sku_targeting""]",36.662,36.662
spk-coord-20260108-15,2026-01-08T15:00:00,2026-01-08T16:00:00,suspicious_coordinated_spike,high,81,,,0.4938,0.0421,0.4691,69,30,19,21,"[{""sku_id"": ""sku_1048"", ""count"": 40}, {""sku_id"": ""sku_1049"", ""count"": 15}, {""sku_id"": ""sku_1002"", ""count"": 3}]","[""many_accounts_per_device"", ""high_device_reuse"", ""elevated_device_velocity"", ""high_absolute_failure_rate""]",15.834,15.834
spk-fest-20260109-07,2026-01-09T07:00:00,2026-01-09T08:00:00,legitimate_festive_spike,info,18,9.75,1.846,0.0,0.0502,0.1111,18,18,11,11,"[{""sku_id"": ""sku_1004"", ""count"": 3}, {""sku_id"": ""sku_1003"", ""count"": 3}, {""sku_id"": ""sku_1001"", ""count"": 3}]","[""high_volume_with_preserved_diversity""]",1.226,0.071
spk-fest-20260109-16,2026-01-09T16:00:00,2026-01-09T17:00:00,legitimate_festive_spike,info,25,19.75,1.266,0.0,0.052,0.04,23,23,17,18,"[{""sku_id"": ""sku_1010"", ""count"": 2}, {""sku_id"": ""sku_1004"", ""count"": 2}, {""sku_id"": ""sku_1017"", ""count"": 2}]","[""high_volume_with_preserved_diversity""]",1.225,0.0
spk-fest-20260110-19,2026-01-10T19:00:00,2026-01-10T20:00:00,legitimate_festive_spike,info,51,32.4,1.574,0.0,0.0422,0.1373,48,48,20,31,"[{""sku_id"": ""sku_1001"", ""count"": 6}, {""sku_id"": ""sku_1002"", ""count"": 5}, {""sku_id"": ""sku_1014"", ""count"": 3}]","[""high_volume_with_preserved_diversity""]",1.133,0.176
spk-fest-20260110-20,2026-01-10T20:00:00,2026-01-10T21:00:00,legitimate_festive_spike,info,37,25.6,1.445,0.0,0.0422,0.0811,35,35,17,23,"[{""sku_id"": ""sku_1001"", ""count"": 5}, {""sku_id"": ""sku_1011"", ""count"": 3}, {""sku_id"": ""sku_1004"", ""count"": 3}]","[""high_volume_with_preserved_diversity""]",1.055,0.0
spk-fest-20260110-21,2026-01-10T21:00:00,2026-01-10T22:00:00,legitimate_festive_spike,info,32,21.4,1.495,0.0,0.0418,0.0,30,30,18,21,"[{""sku_id"": ""sku_1001"", ""count"": 4}, {""sku_id"": ""sku_1003"", ""count"": 4}, {""sku_id"": ""sku_1002"", ""count"": 3}]","[""high_volume_with_preserved_diversity""]",1.423,0.0
spk-fest-20260111-17,2026-01-11T17:00:00,2026-01-11T18:00:00,legitimate_festive_spike,info,37,21.0,1.762,0.0,0.0227,0.027,37,37,17,21,"[{""sku_id"": ""sku_1024"", ""count"": 3}, {""sku_id"": ""sku_1004"", ""count"": 3}, {""sku_id"": ""sku_1005"", ""count"": 3}]","[""high_volume_with_preserved_diversity""]",1.194,0.0
spk-fest-20260114-06,2026-01-14T06:00:00,2026-01-14T07:00:00,legitimate_festive_spike,info,27,7.778,3.471,0.0,0.0197,0.1481,27,27,14,21,"[{""sku_id"": ""sku_1003"", ""count"": 4}, {""sku_id"": ""sku_1001"", ""count"": 4}, {""sku_id"": ""sku_1013"", ""count"": 2}]","[""high_volume_with_preserved_diversity""]",2.751,0.198
