transaction_id,timestamp,account_id,device_id,ip_address,ip_subnet,pincode,sku_id,amount,payment_method,transaction_status,fraud_label,event_type,account_tx_count_1h,device_tx_count_1h,ip_subnet_tx_count_1h
txn_000001,2026-01-05T00:08:10,acc_0674,dev_0793,103.210.20.150,103.210.20.0/24,500001,sku_1003,266.22,wallet,declined,0,legitimate_purchase,1,1,1
txn_000002,2026-01-05T00:13:16,acc_0618,dev_0728,103.86.30.22,103.86.30.0/24,560102,sku_1020,2209.23,card,success,0,legitimate_purchase,1,1,1
txn_000003,2026-01-05T00:52:26,acc_0698,dev_0821,103.93.1.174,103.93.1.0/24,226001,sku_1030,5902.61,wallet,success,0,legitimate_purchase,1,1,1
txn_000004,2026-01-05T01:03:36,acc_0572,dev_0676,14.139.1.139,14.139.1.0/24,160001,sku_1004,262.33,card,success,0,legitimate_purchase,1,1,1
txn_000005,2026-01-05T01:18:23,acc_0108,dev_0138,117.216.1.140,117.216.1.0/24,682016,sku_1001,338.73,UPI,success,0,legitimate_purchase,1,1,1
txn_000006,2026-01-05T02:11:42,acc_0104,dev_0134,103.86.30.126,103.86.30.0/24,560034,sku_1004,475.52,wallet,success,0,legitimate_purchase,1,1,1
txn_000007,2026-01-05T02:15:10,acc_0744,dev_0877,103.88.2.220,103.88.2.0/24,110016,sku_1041,2040.2,UPI,success,0,legitimate_purchase,1,1,1
txn_000008,2026-01-05T02:17:52,acc_0515,dev_0613,49.34.10.32,49.34.10.0/24,380001,sku_1004,355.7,UPI,success,0,legitimate_purchase,1,1,1
txn_000009,2026-01-05T02:26:46,acc_0369,dev_0439,122.160.2.222,122.160.2.0/24,110016,sku_1003,342.99,UPI,success,0,legitimate_purchase,1,1,1
txn_000010,2026-01-05T02:48:40,acc_0776,dev_0915,49.36.20.103,49.36.20.0/24,560034,sku_1015,2035.91,netbanking,declined,0,legitimate_purchase,1,1,1
txn_000011,2026-01-05T04:15:00,acc_0380,dev_0452,103.210.20.194,103.210.20.0/24,500084,sku_1026,6972.99,card,success,0,legitimate_purchase,1,1,1
txn_000012,2026-01-05T04:44:56,acc_0747,dev_0881,103.12.1.85,103.12.1.0/24,302017,sku_1008,415.67,card,success,0,legitimate_purchase,1,1,1
txn_000013,2026-01-05T04:49:20,acc_0413,dev_0491,117.192.1.12,117.192.1.0/24,700001,sku_1030,5480.22,netbanking,failed,0,legitimate_purchase,1,1,1
txn_000014,2026-01-05T05:24:15,acc_0262,dev_0320,103.210.20.251,103.210.20.0/24,500032,sku_1012,237.56,UPI,success,0,legitimate_purchase,1,1,1
txn_000015,2026-01-05T05:51:35,acc_0248,dev_0304,103.210.20.185,103.210.20.0/24,500081,sku_1018,1008.05,UPI,success,0,legitimate_purchase,1,1,2
txn_000016,2026-01-05T05:52:25,acc_0736,dev_0868,14.139.1.179,14.139.1.0/24,160036,sku_1001,374.73,UPI,success,0,legitimate_purchase,1,1,1
txn_000017,2026-01-05T06:05:15,acc_0411,dev_0489,103.93.1.55,103.93.1.0/24,682030,sku_1018,715.4,UPI,success,0,legitimate_purchase,1,1,1
txn_000018,2026-01-05T06:37:41,acc_0771,dev_0909,103.12.1.57,103.12.1.0/24,302001,sku_1020,757.65,netbanking,success,0,legitimate_purchase,1,1,1
txn_000019,2026-01-05T06:45:46,acc_0093,dev_0121,49.207.2.144,49.207.2.0/24,560001,sku_1006,517.26,wallet,success,0,legitimate_purchase,1,1,1
txn_000020,2026-01-05T06:45:53,acc_0614,dev_0724,49.207.1.69,49.207.1.0/24,560034,sku_1004,286.13,card,success,0,legitimate_purchase,1,1,1
txn_000021,2026-01-05T06:49:58,acc_0200,dev_0244,14.139.1.108,14.139.1.0/24,160017,sku_1009,415.9,UPI,success,0,legitimate_purchase,1,1,2
txn_000022,2026-01-05T06:53:49,acc_0885,dev_1036,117.192.2.174,117.192.2.0/24,600042,sku_1030,3882.4,wallet,success,0,legitimate_purchase,1,1,1
txn_000023,2026-01-05T06:56:48,acc_0485,dev_0580,103.50.10.89,103.50.10.0/24,380001,sku_1022,1253.5,UPI,success,0,legitimate_purchase,1,1,1
txn_000024,2026-01-05T07:01:28,acc_0770,dev_0907,14.139.1.228,14.139.1.0/24,160017,sku_1013,356.36,wallet,success,0,legitimate_purchase,1,1,2
txn_000025,2026-01-05T07:06:42,acc_0008,dev_0009,203.197.1.171,203.197.1.0/24,700091,sku_1002,504.86,UPI,success,0,legitimate_purchase,1,1,1
txn_000026,2026-01-05T07:12:57,acc_0094,dev_0122,103.88.1.112,103.88.1.0/24,411014,sku_1003,441.72,UPI,success,0,legitimate_purchase,1,1,1
txn_000027,2026-01-05T07:27:23,acc_0743,dev_0876,117.216.1.41,117.216.1.0/24,682030,sku_1004,254.61,card,success,0,legitimate_purchase,1,1,1
txn_000028,2026-01-05T07:32:30,acc_0699,dev_0822,103.86.30.132,103.86.30.0/24,560066,sku_1002,261.37,UPI,failed,0,legitimate_purchase,1,1,1
txn_000029,2026-01-05T07:32:43,acc_0295,dev_0358,14.139.1.69,14.139.1.0/24,160036,sku_1007,321.73,UPI,success,0,legitimate_purchase,1,1,3
txn_000030,2026-01-05T07:35:52,acc_0085,dev_0111,103.93.1.144,103.93.1.0/24,226010,sku_1038,777.64,wallet,success,0,legitimate_purchase,1,1,1
txn_000031,2026-01-05T07:40:06,acc_0775,dev_0914,103.210.20.241,103.210.20.0/24,500001,sku_1034,648.38,wallet,success,0,legitimate_purchase,1,1,1
txn_000032,2026-01-05T07:43:39,acc_0347,dev_0417,14.139.1.182,14.139.1.0/24,160017,sku_1001,240.85,UPI,success,0,legitimate_purchase,1,1,4
txn_000033,2026-01-05T07:50:26,acc_0788,dev_0928,103.12.1.215,103.12.1.0/24,302017,sku_1002,389.79,wallet,success,0,legitimate_purchase,1,1,1
txn_000034,2026-01-05T08:00:56,acc_0371,dev_0441,117.192.1.144,117.192.1.0/24,600042,sku_1003,285.05,UPI,success,0,legitimate_purchase,1,1,1
txn_000035,2026-01-05T08:04:28,acc_0663,dev_0780,103.88.2.232,103.88.2.0/24,411057,sku_1008,435.43,card,success,0,legitimate_purchase,1,1,1
txn_000036,2026-01-05T08:13:27,acc_0026,dev_0031,203.197.1.73,203.197.1.0/24,700001,sku_1022,1112.0,UPI,declined,0,legitimate_purchase,1,1,1
txn_000037,2026-01-05T08:13:36,acc_0846,dev_0992,14.139.1.9,14.139.1.0/24,160017,sku_1045,1667.49,UPI,success,0,legitimate_purchase,1,1,3
txn_000038,2026-01-05T08:22:06,acc_0899,dev_1053,117.216.1.117,117.216.1.0/24,682016,sku_1029,6635.32,UPI,success,0,legitimate_purchase,1,1,2
txn_000039,2026-01-05T08:29:05,acc_0405,dev_0482,103.93.1.45,103.93.1.0/24,226010,sku_1013,530.46,UPI,success,0,legitimate_purchase,1,1,2
txn_000040,2026-01-05T08:31:03,acc_0673,dev_0791,49.36.20.127,49.36.20.0/24,560102,sku_1008,401.22,card,success,0,legitimate_purchase,1,1,1
txn_000041,2026-01-05T08:31:10,acc_0830,dev_0974,49.34.10.133,49.34.10.0/24,600017,sku_1001,311.21,UPI,success,0,legitimate_purchase,1,1,1
txn_000042,2026-01-05T08:39:51,acc_0348,dev_0418,117.192.2.25,117.192.2.0/24,600017,sku_1028,13350.05,card,success,0,legitimate_purchase,1,1,1
txn_000043,2026-01-05T08:44:17,acc_0723,dev_0852,49.34.10.180,49.34.10.0/24,160017,sku_1013,955.11,card,success,0,legitimate_purchase,1,1,2
txn_000044,2026-01-05T08:49:01,acc_0381,dev_0453,203.197.2.26,203.197.2.0/24,700032,sku_1006,298.97,UPI,success,0,legitimate_purchase,1,1,1
