entity_type,entity_value,signal_kind,transaction_count,amount_usd,labelled_fraud_count,labelled_fraud_rate,labelled_fraud_amount_usd
product,C,OBSERVED FROM IEEE-CIS,68519,2937570.763,8008,0.11687269224594637,391421.4
product,H,OBSERVED FROM IEEE-CIS,33024,2416368.0,1574,0.04766230620155039,246632.0
product,R,OBSERVED FROM IEEE-CIS,37699,6344975.0,1426,0.03782593702750736,348050.0
product,S,OBSERVED FROM IEEE-CIS,11628,700813.6,686,0.058995528035775714,43416.0
product,W,OBSERVED FROM IEEE-CIS,439670,67339221.37200001,8969,0.020399390451929858,2054325.46
card4_proxy,american express,PROXY SIGNAL,8328,1441219.834,239,0.028698366954851104,42798.184
card4_proxy,discover,PROXY SIGNAL,6651,1767506.0799999998,514,0.0772816117877011,182000.44
card4_proxy,mastercard,PROXY SIGNAL,189217,25050009.367,6496,0.03433095334985757,855739.176
card4_proxy,visa,PROXY SIGNAL,384767,51236268.458000004,13373,0.03475609914571676,1997705.8510000003
card6_proxy,charge card,PROXY SIGNAL,15,892.922,0,0.0,
card6_proxy,credit,PROXY SIGNAL,148986,28312458.989,9950,0.06678479857167788,1656751.3709999998
card6_proxy,debit,PROXY SIGNAL,439938,51179200.521000005,10674,0.024262509717278342,1422042.2799999998
card6_proxy,debit or credit,PROXY SIGNAL,30,3121.9699999999993,0,0.0,
addr2_proxy,10.0,PROXY SIGNAL,8,950.0,8,1.0,950.0
addr2_proxy,100.0,PROXY SIGNAL,2,100.0,0,0.0,
addr2_proxy,101.0,PROXY SIGNAL,4,243.08300000000003,0,0.0,
addr2_proxy,102.0,PROXY SIGNAL,11,396.61400000000003,0,0.0,
addr2_proxy,13.0,PROXY SIGNAL,7,205.105,0,0.0,
addr2_proxy,14.0,PROXY SIGNAL,1,50.838,0,0.0,
addr2_proxy,15.0,PROXY SIGNAL,1,27.189,0,0.0,
addr2_proxy,16.0,PROXY SIGNAL,55,3462.813,0,0.0,
addr2_proxy,17.0,PROXY SIGNAL,7,700.0,0,0.0,
addr2_proxy,18.0,PROXY SIGNAL,3,669.483,0,0.0,
addr2_proxy,19.0,PROXY SIGNAL,33,2292.3199999999997,0,0.0,
addr2_proxy,20.0,PROXY SIGNAL,3,75.0,0,0.0,
addr2_proxy,21.0,PROXY SIGNAL,5,308.933,0,0.0,
addr2_proxy,22.0,PROXY SIGNAL,1,17.548,0,0.0,
addr2_proxy,23.0,PROXY SIGNAL,2,400.0,0,0.0,
addr2_proxy,24.0,PROXY SIGNAL,3,226.015,0,0.0,
addr2_proxy,25.0,PROXY SIGNAL,1,31.832,0,0.0,
addr2_proxy,26.0,PROXY SIGNAL,25,1831.6979999999999,0,0.0,
addr2_proxy,27.0,PROXY SIGNAL,20,5609.17,0,0.0,
addr2_proxy,28.0,PROXY SIGNAL,4,368.0,0,0.0,
addr2_proxy,29.0,PROXY SIGNAL,11,979.616,1,0.09090909090909091,300.0
addr2_proxy,30.0,PROXY SIGNAL,4,378.822,0,0.0,
addr2_proxy,31.0,PROXY SIGNAL,47,2378.815,0,0.0,
addr2_proxy,32.0,PROXY SIGNAL,91,5438.842,6,0.06593406593406594,360.0
addr2_proxy,34.0,PROXY SIGNAL,16,2228.3,0,0.0,
addr2_proxy,35.0,PROXY SIGNAL,1,50.0,0,0.0,
addr2_proxy,36.0,PROXY SIGNAL,2,150.0,1,0.5,100.0
addr2_proxy,38.0,PROXY SIGNAL,3,180.0,2,0.6666666666666666,30.0
addr2_proxy,39.0,PROXY SIGNAL,3,450.0,0,0.0,
addr2_proxy,40.0,PROXY SIGNAL,3,640.0,0,0.0,
addr2_proxy,43.0,PROXY SIGNAL,12,1259.113,0,0.0,
addr2_proxy,44.0,PROXY SIGNAL,3,75.0,0,0.0,
addr2_proxy,46.0,PROXY SIGNAL,3,150.0,3,1.0,150.0
addr2_proxy,47.0,PROXY SIGNAL,4,200.0,0,0.0,
addr2_proxy,48.0,PROXY SIGNAL,4,400.0,0,0.0,
addr2_proxy,49.0,PROXY SIGNAL,1,72.0,0,0.0,
addr2_proxy,50.0,PROXY SIGNAL,1,25.0,0,0.0,
addr2_proxy,51.0,PROXY SIGNAL,4,200.0,4,1.0,200.0
addr2_proxy,52.0,PROXY SIGNAL,5,500.0,0,0.0,
