relative_hour_bucket,transaction_count,amount_usd,product_top,product_top_share,unique_product,unique_card1_proxy,card4_top,card4_top_share,addr2_top,addr2_top_share,identity_coverage,device_type_top,device_type_top_share,labelled_fraud_count,labelled_fraud_rate,labelled_fraud_amount_usd
24,228,44934.424,W,0.7280701754385965,5,165,visa,0.706140350877193,87.0,0.8728070175438597,0.2149122807017544,desktop,0.12280701754385964,1,0.0043859649122807015,445.0
25,201,28517.301,W,0.7213930348258707,5,138,visa,0.681592039800995,87.0,0.8706467661691543,0.25870646766169153,mobile,0.14427860696517414,6,0.029850746268656716,582.385
26,180,32830.242,W,0.6,5,115,visa,0.6722222222222223,87.0,0.8444444444444444,0.4,desktop,0.21666666666666667,0,0.0,
27,134,13159.385,W,0.6791044776119403,4,103,visa,0.664179104477612,87.0,0.7910447761194029,0.31343283582089554,desktop,0.23134328358208955,3,0.022388059701492536,236.67
28,92,14690.033,W,0.5760869565217391,5,80,visa,0.6630434782608695,87.0,0.7717391304347826,0.41304347826086957,desktop,0.20652173913043478,3,0.03260869565217391,30.0
29,64,8788.816,W,0.625,4,49,visa,0.640625,87.0,0.703125,0.34375,desktop,0.21875,1,0.015625,83.38
30,91,14883.018000000002,W,0.8021978021978022,4,40,mastercard,0.6263736263736264,87.0,0.8461538461538461,0.15384615384615385,desktop,0.07692307692307693,1,0.01098901098901099,774.0
31,66,10825.342,W,0.8939393939393939,4,25,mastercard,0.696969696969697,87.0,0.9545454545454546,0.10606060606060606,desktop,0.06060606060606061,0,0.0,
32,38,9179.862000000001,W,0.8421052631578947,3,19,mastercard,0.5263157894736842,87.0,0.8947368421052632,0.13157894736842105,mobile,0.10526315789473684,4,0.10526315789473684,2433.616
33,41,7377.82,W,1.0,1,20,mastercard,0.6097560975609756,87.0,1.0,0.0,,,1,0.024390243902439025,159.0
34,47,4979.780000000001,W,0.8936170212765957,3,35,visa,0.574468085106383,87.0,0.9787234042553191,0.10638297872340426,mobile,0.06382978723404255,2,0.0425531914893617,177.0
35,82,11615.02,W,0.8902439024390244,5,55,visa,0.524390243902439,87.0,0.975609756097561,0.10975609756097561,desktop,0.07317073170731707,5,0.06097560975609756,586.5
36,148,19055.889000000003,W,0.8783783783783784,5,91,visa,0.6013513513513513,87.0,0.9932432432432432,0.11486486486486487,desktop,0.08783783783783784,4,0.02702702702702703,658.0
37,222,33600.583,W,0.9144144144144144,5,130,visa,0.6081081081081081,87.0,0.990990990990991,0.08558558558558559,desktop,0.07207207207207207,1,0.0045045045045045045,80.0
38,258,32628.038,W,0.810077519379845,5,141,visa,0.6007751937984496,87.0,0.9767441860465116,0.18604651162790697,desktop,0.13178294573643412,7,0.027131782945736434,1481.99
39,328,47567.161,W,0.8292682926829268,5,199,visa,0.6554878048780488,87.0,0.9420731707317073,0.15548780487804878,desktop,0.12195121951219512,8,0.024390243902439025,2560.24
40,376,54005.076,W,0.824468085106383,5,222,visa,0.648936170212766,87.0,0.9601063829787234,0.15425531914893617,desktop,0.11702127659574468,7,0.018617021276595744,1673.73
41,382,54295.087,W,0.7958115183246073,5,230,visa,0.6099476439790575,87.0,0.9293193717277487,0.18848167539267016,desktop,0.14921465968586387,5,0.013089005235602094,865.029
42,378,54774.221000000005,W,0.8174603174603174,5,215,visa,0.5687830687830688,87.0,0.9391534391534392,0.164021164021164,desktop,0.11375661375661375,5,0.013227513227513227,826.357
43,377,57652.026,W,0.7957559681697612,5,221,visa,0.5729442970822282,87.0,0.9071618037135278,0.1724137931034483,desktop,0.1220159151193634,8,0.021220159151193633,362.30499999999995
44,343,50469.091,W,0.8046647230320699,5,205,visa,0.6064139941690962,87.0,0.9591836734693877,0.18950437317784258,desktop,0.14285714285714285,13,0.037900874635568516,1826.492
45,361,46938.015,W,0.775623268698061,5,232,visa,0.6011080332409973,87.0,0.9002770083102493,0.2077562326869806,desktop,0.16066481994459833,9,0.024930747922437674,1862.991
46,331,45366.77500000001,W,0.8429003021148036,5,210,visa,0.6163141993957704,87.0,0.9365558912386707,0.1268882175226586,desktop,0.09063444108761329,7,0.021148036253776436,1533.5
47,354,44053.926,W,0.7740112994350282,5,207,visa,0.6214689265536724,87.0,0.8898305084745762,0.2033898305084746,desktop,0.11016949152542373,11,0.031073446327683617,1098.9589999999998
48,320,43792.549,W,0.796875,5,181,visa,0.634375,87.0,0.884375,0.19375,desktop,0.13125,10,0.03125,1058.268
49,246,29000.955,W,0.7154471544715447,5,159,visa,0.6138211382113821,87.0,0.8252032520325203,0.26422764227642276,desktop,0.13821138211382114,11,0.044715447154471545,1240.3220000000001
50,164,17385.239999999998,W,0.6951219512195121,5,114,visa,0.6219512195121951,87.0,0.8536585365853658,0.29878048780487804,desktop,0.1524390243902439,10,0.06097560975609756,1148.7820000000002
51,124,12838.155,W,0.7741935483870968,5,87,visa,0.5645161290322581,87.0,0.8306451612903226,0.22580645161290322,desktop,0.12903225806451613,3,0.024193548387096774,159.24
52,102,11813.21,W,0.7058823529411765,5,76,visa,0.6862745098039216,87.0,0.8529411764705882,0.27450980392156865,desktop,0.14705882352941177,3,0.029411764705882353,74.574
53,73,8011.463,W,0.6712328767123288,4,54,visa,0.6712328767123288,87.0,0.7808219178082192,0.3013698630136986,mobile,0.273972602739726,3,0.0410958904109589,150.22199999999998
54,40,6462.998,W,0.6,5,32,visa,0.725,87.0,0.825,0.4,desktop,0.25,1,0.025,14.863
55,30,3575.0539999999996,W,0.7,4,23,visa,0.5666666666666667,87.0,0.8333333333333334,0.3,mobile,0.2,1,0.03333333333333333,40.663
56,16,1691.933,W,0.8125,3,12,visa,0.5,87.0,0.9375,0.1875,desktop,0.1875,0,0.0,
57,9,1444.9,W,0.8888888888888888,2,8,visa,0.8888888888888888,87.0,1.0,0.1111111111111111,desktop,0.1111111111111111,1,0.1111111111111111,117.0
58,18,6415.017,W,0.7777777777777778,4,13,mastercard,0.5,87.0,0.9444444444444444,0.2222222222222222,mobile,0.1111111111111111,0,0.0,
59,16,2386.099,W,0.8125,3,14,visa,0.625,87.0,0.9375,0.1875,mobile,0.125,2,0.125,426.0
60,43,5104.909,W,0.7209302325581395,5,33,visa,0.6046511627906976,87.0,0.9767441860465116,0.27906976744186046,desktop,0.16279069767441862,0,0.0,
61,90,12537.36,W,0.7444444444444445,4,68,visa,0.5666666666666667,87.0,0.9333333333333333,0.24444444444444444,desktop,0.13333333333333333,2,0.022222222222222223,260.0
62,163,21075.900999999998,W,0.8404907975460123,5,115,visa,0.6134969325153374,87.0,0.9754601226993865,0.15337423312883436,desktop,0.11042944785276074,3,0.018404907975460124,485.0
63,200,27183.103,W,0.785,5,128,visa,0.59,87.0,0.94,0.2,desktop,0.145,5,0.025,952.49
64,251,30901.611,W,0.7689243027888446,5,170,visa,0.649402390438247,87.0,0.9163346613545816,0.22310756972111553,desktop,0.15139442231075698,6,0.02390438247011952,501.95
65,291,32381.815000000002,W,0.7525773195876289,5,192,visa,0.6288659793814433,87.0,0.8556701030927835,0.2027491408934708,desktop,0.15120274914089346,4,0.013745704467353952,334.968
66,253,25989.718,W,0.758893280632411,5,165,visa,0.6640316205533597,87.0,0.924901185770751,0.20948616600790515,desktop,0.1422924901185771,5,0.019762845849802372,411.226
67,279,32904.74,W,0.7311827956989247,5,189,visa,0.6344086021505376,87.0,0.9498207885304659,0.2616487455197133,desktop,0.16487455197132617,3,0.010752688172043012,867.0
68,287,36965.405,W,0.7979094076655052,5,183,visa,0.6062717770034843,87.0,0.9372822299651568,0.18466898954703834,desktop,0.14285714285714285,13,0.04529616724738676,1673.8789999999997
69,228,26058.160000000003,W,0.793859649122807,5,149,visa,0.6359649122807017,87.0,0.956140350877193,0.20175438596491227,desktop,0.10526315789473684,10,0.043859649122807015,2352.9939999999997
70,260,31176.984,W,0.7653846153846153,5,182,visa,0.6423076923076924,87.0,0.9230769230769231,0.2,desktop,0.12307692307692308,14,0.05384615384615385,2418.9159999999997
71,227,26302.734,W,0.748898678414097,5,139,visa,0.6607929515418502,87.0,0.8546255506607929,0.2290748898678414,desktop,0.11894273127753303,13,0.05726872246696035,671.2499999999999
72,200,18356.037,W,0.795,5,134,visa,0.69,87.0,0.94,0.195,desktop,0.12,6,0.03,956.266
73,223,28442.116,W,0.7533632286995515,5,148,visa,0.6816143497757847,87.0,0.905829596412556,0.23766816143497757,mobile,0.14798206278026907,3,0.013452914798206279,1198.99
74,157,13891.178,W,0.7579617834394905,5,113,visa,0.5668789808917197,87.0,0.9044585987261147,0.2229299363057325,desktop,0.18471337579617833,1,0.006369426751592357,30.029
75,93,10669.342000000002,W,0.6129032258064516,5,72,visa,0.5913978494623656,87.0,0.8602150537634409,0.3763440860215054,desktop,0.23655913978494625,5,0.053763440860215055,542.067
76,70,7826.677,W,0.6285714285714286,4,57,visa,0.7714285714285715,87.0,0.8285714285714286,0.35714285714285715,mobile,0.18571428571428572,4,0.05714285714285714,394.914
77,58,4161.095,W,0.5862068965517241,3,42,visa,0.7586206896551724,87.0,0.7068965517241379,0.3793103448275862,mobile,0.20689655172413793,2,0.034482758620689655,247.991
78,41,4144.441,W,0.5853658536585366,4,35,visa,0.6097560975609756,87.0,0.8292682926829268,0.3902439024390244,mobile,0.2682926829268293,2,0.04878048780487805,286.299
79,20,2830.411,W,0.7,3,18,visa,0.75,87.0,0.75,0.3,mobile,0.2,1,0.05,87.0
80,14,1419.437,W,0.5,3,11,visa,0.6428571428571429,87.0,0.7857142857142857,0.5,desktop,0.2857142857142857,0,0.0,
81,13,1574.992,W,0.6153846153846154,4,11,visa,0.5384615384615384,87.0,0.7692307692307693,0.38461538461538464,desktop,0.23076923076923078,0,0.0,
82,13,1537.2800000000002,W,0.8461538461538461,3,12,mastercard,0.6923076923076923,87.0,0.9230769230769231,0.15384615384615385,desktop,0.15384615384615385,1,0.07692307692307693,171.0
83,26,3437.6899999999996,W,0.6538461538461539,4,21,visa,0.5769230769230769,87.0,0.8076923076923077,0.3076923076923077,desktop,0.2692307692307692,0,0.0,
84,40,3772.8630000000003,W,0.575,5,27,visa,0.625,87.0,0.8,0.4,mobile,0.25,4,0.1,42.536
85,68,6269.38,W,0.6911764705882353,4,60,visa,0.6323529411764706,87.0,0.9852941176470589,0.29411764705882354,desktop,0.16176470588235295,1,0.014705882352941176,50.0
86,116,11651.018,W,0.6637931034482759,5,84,visa,0.603448275862069,87.0,0.8793103448275862,0.31896551724137934,desktop,0.1896551724137931,0,0.0,
87,183,19620.562,W,0.7103825136612022,5,117,visa,0.644808743169399,87.0,0.9234972677595629,0.273224043715847,desktop,0.16939890710382513,4,0.02185792349726776,682.0
88,194,18286.489,W,0.6494845360824743,5,145,visa,0.6649484536082474,87.0,0.8917525773195877,0.31443298969072164,desktop,0.17525773195876287,11,0.05670103092783505,1295.6020000000003
89,205,23741.001000000004,W,0.6926829268292682,5,144,visa,0.7170731707317073,87.0,0.9219512195121952,0.2780487804878049,desktop,0.15121951219512195,3,0.014634146341463415,485.534
90,218,22416.275,W,0.7247706422018348,5,146,visa,0.6605504587155964,87.0,0.9357798165137615,0.26146788990825687,desktop,0.14220183486238533,6,0.027522935779816515,1616.75
91,261,32213.395,W,0.6704980842911877,5,173,visa,0.6245210727969349,87.0,0.9118773946360154,0.31800766283524906,desktop,0.18007662835249041,10,0.038314176245210725,784.813
92,218,27686.913999999997,W,0.7155963302752294,5,155,visa,0.6743119266055045,87.0,0.8944954128440367,0.25688073394495414,desktop,0.1743119266055046,7,0.03211009174311927,2066.44
93,242,21701.352000000003,W,0.6983471074380165,5,152,visa,0.6239669421487604,87.0,0.8966942148760331,0.2809917355371901,desktop,0.17355371900826447,6,0.024793388429752067,1507.95
94,307,32005.033,W,0.755700325732899,5,195,visa,0.7035830618892508,87.0,0.8990228013029316,0.2247557003257329,desktop,0.11726384364820847,10,0.03257328990228013,1452.1560000000002
95,261,30862.456000000002,W,0.789272030651341,5,174,visa,0.632183908045977,87.0,0.9425287356321839,0.19157088122605365,mobile,0.10344827586206896,5,0.019157088122605363,356.0
96,236,28488.028,W,0.6483050847457628,5,156,visa,0.7076271186440678,87.0,0.8898305084745762,0.3093220338983051,mobile,0.15677966101694915,6,0.025423728813559324,1125.0
97,211,16372.515000000001,W,0.6777251184834123,5,154,visa,0.6350710900473934,87.0,0.9004739336492891,0.3222748815165877,desktop,0.1943127962085308,8,0.037914691943127965,890.889
98,182,15212.323,W,0.6923076923076923,5,139,visa,0.6428571428571429,87.0,0.8571428571428571,0.29120879120879123,desktop,0.1978021978021978,2,0.01098901098901099,74.438
99,165,14718.038000000004,W,0.7212121212121212,4,114,visa,0.703030303030303,87.0,0.9151515151515152,0.2787878787878788,desktop,0.18181818181818182,11,0.06666666666666667,1385.145
100,129,13732.643,W,0.6744186046511628,4,101,visa,0.6589147286821705,87.0,0.8217054263565892,0.3023255813953488,desktop,0.15503875968992248,0,0.0,
101,82,6939.6990000000005,W,0.5975609756097561,5,61,visa,0.6707317073170732,87.0,0.7804878048780488,0.3780487804878049,desktop,0.24390243902439024,5,0.06097560975609756,871.0920000000001
102,55,5421.238999999999,W,0.6,4,45,visa,0.5636363636363636,87.0,0.7272727272727273,0.38181818181818183,mobile,0.21818181818181817,4,0.07272727272727272,299.923
103,24,2140.65,W,0.6666666666666666,3,21,visa,0.7083333333333334,87.0,0.7083333333333334,0.3333333333333333,desktop,0.25,2,0.08333333333333333,240.26
104,14,1255.627,W,0.5714285714285714,3,10,mastercard,0.5714285714285714,87.0,0.6428571428571429,0.42857142857142855,desktop,0.42857142857142855,1,0.07142857142857142,226.0
105,19,2060.892,W,0.6842105263157895,4,17,visa,0.7368421052631579,87.0,0.8947368421052632,0.3157894736842105,desktop,0.21052631578947367,1,0.05263157894736842,14.26
106,6,889.95,W,1.0,1,5,mastercard,0.8333333333333334,87.0,1.0,0.0,,,0,0.0,
107,31,2120.106,W,0.8387096774193549,4,27,visa,0.4838709677419355,87.0,0.967741935483871,0.0967741935483871,desktop,0.06451612903225806,1,0.03225806451612903,20.0
108,74,9075.461,W,0.7567567567567568,5,64,visa,0.6216216216216216,87.0,0.9864864864864865,0.21621621621621623,desktop,0.12162162162162163,2,0.02702702702702703,522.95
109,116,16391.802000000003,W,0.7672413793103449,5,91,visa,0.6637931034482759,87.0,0.9396551724137931,0.21551724137931033,desktop,0.13793103448275862,4,0.034482758620689655,786.0
110,177,24990.888,W,0.7457627118644068,5,142,visa,0.6271186440677966,87.0,0.96045197740113,0.24858757062146894,desktop,0.1807909604519774,2,0.011299435028248588,132.95
111,231,37146.831,W,0.6926406926406926,5,164,visa,0.5714285714285714,87.0,0.935064935064935,0.24675324675324675,desktop,0.22077922077922077,4,0.017316017316017316,936.4000000000001
112,283,38052.458,W,0.6678445229681979,5,185,visa,0.6395759717314488,87.0,0.8833922261484098,0.21908127208480566,desktop,0.1872791519434629,7,0.024734982332155476,541.5709999999999
113,285,35250.135,W,0.7578947368421053,5,172,visa,0.656140350877193,87.0,0.9333333333333333,0.17543859649122806,desktop,0.14736842105263157,6,0.021052631578947368,589.925
114,281,41218.293000000005,W,0.6654804270462633,5,180,visa,0.6263345195729537,87.0,0.8790035587188612,0.20284697508896798,desktop,0.14590747330960854,6,0.021352313167259787,677.58
115,301,48445.827,W,0.7375415282392026,5,194,visa,0.6179401993355482,87.0,0.9302325581395349,0.2159468438538206,desktop,0.16279069767441862,9,0.029900332225913623,667.023
116,279,38712.44900000001,W,0.7096774193548387,5,188,visa,0.6666666666666666,87.0,0.9139784946236559,0.26523297491039427,desktop,0.22939068100358423,7,0.025089605734767026,926.232
117,310,47085.086,W,0.7612903225806451,5,205,visa,0.6387096774193548,87.0,0.9290322580645162,0.22580645161290322,desktop,0.16774193548387098,9,0.02903225806451613,957.314
118,259,33384.25,W,0.7567567567567568,5,181,visa,0.6756756756756757,87.0,0.9266409266409267,0.21235521235521235,desktop,0.16216216216216217,6,0.023166023166023165,236.23199999999997
119,286,36863.807,W,0.7832167832167832,5,183,visa,0.6083916083916084,87.0,0.9125874125874126,0.1993006993006993,desktop,0.14335664335664336,12,0.04195804195804196,1999.2630000000001
120,284,35649.846000000005,W,0.721830985915493,5,200,visa,0.6866197183098591,87.0,0.8873239436619719,0.24647887323943662,desktop,0.18309859154929578,8,0.028169014084507043,440.348
121,246,26347.940000000002,W,0.7357723577235772,5,150,visa,0.6910569105691057,87.0,0.8943089430894309,0.26422764227642276,desktop,0.17479674796747968,9,0.036585365853658534,829.978
122,226,27244.5,W,0.6858407079646017,5,144,visa,0.6637168141592921,87.0,0.8761061946902655,0.3053097345132743,desktop,0.21238938053097345,6,0.02654867256637168,808.834
123,179,21761.961000000003,W,0.5977653631284916,5,120,visa,0.659217877094972,87.0,0.7932960893854749,0.4022346368715084,desktop,0.3128491620111732,3,0.01675977653631285,673.0
124,121,15882.895,W,0.6198347107438017,5,86,visa,0.6115702479338843,87.0,0.8264462809917356,0.35537190082644626,desktop,0.21487603305785125,0,0.0,
125,71,7772.217,W,0.6901408450704225,4,54,visa,0.6619718309859155,87.0,0.8169014084507042,0.30985915492957744,desktop,0.23943661971830985,1,0.014084507042253521,306.95
126,36,4237.378,W,0.7777777777777778,4,28,visa,0.7222222222222222,87.0,0.9444444444444444,0.2222222222222222,desktop,0.19444444444444445,2,0.05555555555555555,170.988
127,25,4627.4400000000005,W,0.84,2,22,visa,0.8,87.0,1.0,0.08,desktop,0.08,0,0.0,
128,10,702.8499999999999,W,0.9,2,8,visa,0.8,87.0,1.0,0.1,desktop,0.1,0,0.0,
129,9,599.85,W,0.8888888888888888,2,9,visa,0.6666666666666666,87.0,1.0,0.1111111111111111,mobile,0.1111111111111111,0,0.0,
130,15,4535.82,W,0.6666666666666666,4,14,visa,0.6,87.0,1.0,0.3333333333333333,desktop,0.26666666666666666,1,0.06666666666666667,200.0
131,30,2785.5599999999995,W,0.6,5,24,mastercard,0.5,87.0,0.9666666666666667,0.4,desktop,0.3333333333333333,0,0.0,
132,68,10018.2,W,0.6911764705882353,5,55,visa,0.7647058823529411,87.0,0.9705882352941176,0.2647058823529412,desktop,0.22058823529411764,6,0.08823529411764706,1356.95
133,113,16396.978000000003,W,0.7522123893805309,5,87,visa,0.6371681415929203,87.0,0.911504424778761,0.18584070796460178,desktop,0.11504424778761062,1,0.008849557522123894,44.0
134,215,27128.133,W,0.6511627906976745,5,145,visa,0.6372093023255814,87.0,0.9069767441860465,0.34418604651162793,desktop,0.2651162790697674,12,0.05581395348837209,458.15199999999993
135,206,33162.528,W,0.6893203883495146,5,149,visa,0.6310679611650486,87.0,0.941747572815534,0.2815533980582524,desktop,0.22815533980582525,1,0.0048543689320388345,20.0
136,245,33719.67600000001,W,0.7020408163265306,5,175,visa,0.689795918367347,87.0,0.9183673469387755,0.27346938775510204,desktop,0.1836734693877551,4,0.0163265306122449,743.438
137,265,36236.524,W,0.690566037735849,5,187,visa,0.6377358490566037,87.0,0.9358490566037736,0.3018867924528302,desktop,0.21509433962264152,10,0.03773584905660377,779.468
138,268,43747.445999999996,W,0.7201492537313433,5,179,visa,0.6529850746268657,87.0,0.8843283582089553,0.2537313432835821,desktop,0.20522388059701493,8,0.029850746268656716,1026.629
139,256,34020.077000000005,W,0.6484375,5,187,visa,0.63671875,87.0,0.9140625,0.33984375,desktop,0.26171875,5,0.01953125,548.533
140,275,42978.557,W,0.6727272727272727,5,180,visa,0.6472727272727272,87.0,0.8836363636363637,0.28363636363636363,desktop,0.20727272727272728,6,0.02181818181818182,1909.365
141,262,40534.765,W,0.6870229007633588,5,175,visa,0.6297709923664122,87.0,0.9083969465648855,0.29389312977099236,desktop,0.23282442748091603,14,0.05343511450381679,2216.95
142,256,38093.093,W,0.71484375,5,169,visa,0.67578125,87.0,0.94140625,0.26953125,desktop,0.2109375,17,0.06640625,2498.5690000000004
