hour_start,transaction_count,amount_usd,unique_ip,labelled_fraud_count,labelled_fraud_amount_usd,labelled_fraud_rate
2026-01-01T00:00:00,60,4983.35,60,0,,0.0
2026-01-01T01:00:00,80,12016.27,80,0,,0.0
2026-01-01T02:00:00,87,10864.92,87,0,,0.0
2026-01-01T03:00:00,83,92101.46,83,1,81050.56,0.012048192771084338
2026-01-01T04:00:00,81,8388.51,81,0,,0.0
2026-01-01T05:00:00,75,10390.179999999998,75,0,,0.0
2026-01-01T06:00:00,60,6790.09,60,0,,0.0
2026-01-01T07:00:00,64,7493.4,64,0,,0.0
2026-01-01T08:00:00,79,14001.57,79,0,,0.0
2026-01-01T09:00:00,59,6535.3,59,0,,0.0
2026-01-01T10:00:00,77,25190.87,77,0,,0.0
2026-01-01T11:00:00,67,9296.24,67,0,,0.0
2026-01-01T12:00:00,75,13923.160000000002,75,0,,0.0
2026-01-01T13:00:00,68,10597.179999999997,68,0,,0.0
2026-01-01T14:00:00,80,9056.6,80,0,,0.0
2026-01-01T15:00:00,66,7866.55,66,0,,0.0
2026-01-01T16:00:00,70,5593.970000000001,70,0,,0.0
2026-01-01T17:00:00,74,15247.95,74,0,,0.0
2026-01-01T18:00:00,78,7787.630000000001,78,0,,0.0
2026-01-01T19:00:00,84,21225.21,84,0,,0.0
2026-01-01T20:00:00,60,8760.59,60,0,,0.0
2026-01-01T21:00:00,85,8144.549999999998,85,0,,0.0
2026-01-01T22:00:00,76,10508.54,76,0,,0.0
2026-01-01T23:00:00,87,14833.500000000004,87,0,,0.0
2026-01-02T00:00:00,77,6274.52,77,0,,0.0
2026-01-02T01:00:00,82,10109.519999999999,82,0,,0.0
2026-01-02T02:00:00,72,12755.45,72,0,,0.0
2026-01-02T03:00:00,66,11274.669999999998,66,0,,0.0
2026-01-02T04:00:00,76,7451.429999999999,76,0,,0.0
2026-01-02T05:00:00,68,7015.269999999998,68,0,,0.0
2026-01-02T06:00:00,76,6700.280000000001,76,0,,0.0
2026-01-02T07:00:00,72,14032.699999999999,72,0,,0.0
2026-01-02T08:00:00,81,14189.97,81,0,,0.0
2026-01-02T09:00:00,88,22204.68,88,1,392.11,0.011363636363636364
2026-01-02T10:00:00,78,20867.739999999998,78,0,,0.0
2026-01-02T11:00:00,80,6272.07,80,0,,0.0
2026-01-02T12:00:00,79,26481.710000000003,79,0,,0.0
2026-01-02T13:00:00,70,13134.94,70,0,,0.0
2026-01-02T14:00:00,71,22631.55,71,0,,0.0
2026-01-02T15:00:00,82,17411.350000000006,82,0,,0.0
2026-01-02T16:00:00,77,10495.570000000002,77,0,,0.0
2026-01-02T17:00:00,70,6933.7300000000005,70,0,,0.0
2026-01-02T18:00:00,69,12727.19,69,0,,0.0
2026-01-02T19:00:00,85,9523.79,85,0,,0.0
2026-01-02T20:00:00,85,8757.15,85,0,,0.0
2026-01-02T21:00:00,62,9691.020000000002,62,0,,0.0
2026-01-02T22:00:00,58,57203.649999999994,58,1,49004.21,0.017241379310344827
2026-01-02T23:00:00,79,14361.720000000003,79,0,,0.0
2026-01-03T00:00:00,88,13830.619999999999,88,0,,0.0
2026-01-03T01:00:00,63,6665.2699999999995,63,0,,0.0
2026-01-03T02:00:00,98,102844.34,98,1,75535.53,0.01020408163265306
2026-01-03T03:00:00,70,8186.330000000001,70,0,,0.0
2026-01-03T04:00:00,67,7623.16,67,0,,0.0
2026-01-03T05:00:00,82,10796.550000000003,82,0,,0.0
2026-01-03T06:00:00,87,7127.339999999999,87,0,,0.0
2026-01-03T07:00:00,72,8184.129999999999,72,0,,0.0
2026-01-03T08:00:00,81,8236.82,81,0,,0.0
2026-01-03T09:00:00,85,5386.240000000001,85,0,,0.0
2026-01-03T10:00:00,86,9877.97,86,0,,0.0
2026-01-03T11:00:00,75,7352.329999999999,75,0,,0.0
2026-01-03T12:00:00,71,11805.369999999999,71,0,,0.0
2026-01-03T13:00:00,73,9764.27,73,0,,0.0
2026-01-03T14:00:00,73,7598.83,73,0,,0.0
2026-01-03T15:00:00,69,74238.2,69,1,61688.33,0.014492753623188406
